card_code,name,faction_code,xp,main_decks_including_once,main_deck_occurances,side_decks_including_once,side_deck_occurances
09026,Breach the Door,guardian,0,87,154,5,8
03014,Spirit-Speaker,neutral,0,161,161,0,0
03015,Angered Spirits,neutral,0,161,161,0,0
02266,Ace in the Hole (3),rogue,3,90,90,71,71
07121,Mariner's Compass,survivor,0,85,156,2,4
03149,"Charles Ross, Esq.",seeker,0,90,157,2,3
08049,Counterespionage (1),rogue,1,55,84,44,76
02039,Chronophobia,neutral,0,154,156,3,4
07111,Eldritch Sophist,seeker,0,84,147,8,12
01586,Knife,neutral,0,85,159,0,0
03232,Shortcut (2),seeker,2,56,89,41,69
09049,Analysis,seeker,0,80,152,5,6
60508,Granny Orne,survivor,0,85,145,9,13
02113,Oops!,survivor,0,96,155,1,2
04234,Sacrifice (1),mystic,1,67,110,27,47
08081,Plucky (3),survivor,3,45,65,62,92
04274,Thermos,neutral,0,110,151,5,6
09117,Old Keyring (3),survivor,3,47,84,40,72
10067,Fox Mask,rogue,0,106,149,4,6
10108,Matchbox,survivor,0,82,139,10,15
60529,Chainsaw (4),survivor,4,49,89,36,63
08103,Divination (4),seeker,4,31,49,57,103
07118,Eye of Chaos,mystic,0,81,148,3,3
02110,Adaptable (1),rogue,1,93,109,39,42
05008,Rational Thought,neutral,0,150,150,0,0
05013,Twilight Blade,neutral,0,150,150,0,0
05014,Dark Insight,neutral,0,150,150,0,0
05015,Terrible Secret,neutral,0,150,150,0,0
09034,Guard Dog (2),guardian,2,36,65,44,84
05007,Hypnotic Therapy,neutral,0,149,149,0,0
01098,Haunted,neutral,0,149,149,0,0
08099,Gené Beauregard (3),seeker,3,34,49,69,100
02260,Leadership,guardian,0,81,139,5,10
10111,Sparrow Mask,survivor,0,100,134,9,14
08067,Astronomical Atlas (3),mystic,3,63,107,24,41
04313,Alter Fate (3),survivor,3,39,53,55,95
08108,Ethereal Slip,rogue,0,90,131,10,16
06328,Mind's Eye (2),mystic,2,45,134,5,13
05038,Able Bodied,survivor,0,77,144,2,3
60208,Encyclopedia,seeker,0,88,142,4,5
01560,Shrivelling,mystic,0,79,145,1,2
03192,Archaic Glyphs (3),seeker,3,53,83,40,63
08128,Rod of Animalism (1),neutral,1,67,109,23,37
09047,Captivating Discovery,seeker,0,71,137,6,9
03315,Key of Ys (5),neutral,5,63,82,51,64
01533,Dr. Milan Christopher,seeker,0,82,143,1,2
60207,Disc of Itzamna,seeker,0,78,134,7,11
09046,Bizarre Diagnosis,seeker,0,82,134,7,10
60224,Cryptic Writings (2),seeker,2,26,47,51,97
03028,Stealth,rogue,0,91,138,4,6
03307,No Stone Unturned (5),seeker,5,43,75,39,68
09042,The Raven Quill,seeker,0,73,121,13,21
08028,On the Hunt (3),guardian,3,23,31,66,110
03035,Spirit Athame (1),mystic,1,67,112,18,29
09061,Honed Instinct,rogue,0,59,117,14,23
07153,Radiant Smite (1),guardian,1,37,67,39,73
04265,Handcuffs,guardian,0,82,131,5,9
08019,Geared Up,guardian,0,136,136,3,3
06282,Summoned Hound (1),mystic,1,57,102,24,37
